_id,id.senator,id.member,bio.fulltitle,links.aph,bio.title,bio.prefname,bio.surname,bio.postnominal,bio.postnominalyear,bio.othername,bio.gender,date#bio.dateofbirth,bio.placeofbirth,date#bio.dateofdeath,date#bio.servicefrom,date#bio.serviceto,bio.servicedaystotal,bio.olb,division[0].status,division[0].parltype,division[0].aecdivid,division[0].divname,division[0].divstate,division[0].starttype,date#division[0].startdate,date#division[0].enddate,division[0].endtype,division[0].endreason,division[1].parltype,division[1].aecdivid,division[1].divname,division[1].divstate,division[1].starttype,date#division[1].startdate,date#division[1].enddate,division[1].endtype,division[1].endreason,division[2].parltype,division[2].aecdivid,division[2].divname,division[2].divstate,division[2].starttype,date#division[2].startdate,date#division[2].enddate,date#division[2].endtype,division[2].endreason,division[3].parltype,division[3].aecdivid,division[3].divname,division[3].divstate,division[3].starttype,date#division[3].startdate,date#division[3].enddate,,division[3].endreason,party.count,party[0].partyname,party[0].partycode,party[0].coalition,date#party[0].startdate,date#party[0].enddate,party[1].partyname,party[1].partycode,party[1].coalition,date#party[1].startdate,date#party[1].enddate,party[2].partyname,party[2].partycode,party[2].coalition,date#party[2].startdate,date#party[2].enddate,parliamentaryposition[0].status,parliamentaryposition[0].chamber,parliamentaryposition[0].title,date#parliamentaryposition[0].startdate,date#parliamentaryposition[0].enddate,parliamentaryposition[1].chamber,parliamentaryposition[1].title,date#parliamentaryposition[1].startdate,date#parliamentaryposition[1].enddate,,,,,,,,,,,,
"""243273""",S0552,,"Ruston, Anne Sowerby",aph bio,,Anne,RUSTON,,,,Female,1963-06-10,"Renmark, SA",,2012-09-05,,1029,Current Senator for South Australia (2012- ),Current,Senator,,South Australia,SA,2012-CASUAL5-SA,2012-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberal,LP,LPNP,2012-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""249224""",,H1122,"Ryan, Joanne Catherine",aph bio,,Joanne,RYAN,,,,Female,1961-07-29,"Werribee, VIC",,2013-09-07,,662,Current Member for Lalor (2013- ),Current,Member,,Lalor,VIC,2013-FULL,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K3I""",S0215,,"Ryan, John Victor",aph bio,,John,RYAN,,,,Male,1890-12-02,"Adelaide, SA",1974-10-13,1949-12-10,1959-06-30,3489,Former Senator for South Australia (1949-1959),Former,Senator,,South Australia,SA,1949-FULL-NEW,1949-12-10,1959-06-30,1958-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""L0G""",,H0348,"Ryan, Rupert Sumner",aph bio,,Rupert,RYAN,"CMG, DSO",,,Male,1884-05-06,"Melbourne, VIC",1952-08-26,1940-09-21,1952-08-26,4357,Former Member for Flinders (1940-1952),Former,Member,,Flinders,VIC,1940-FULL,1940-09-21,1952-08-26,1952-BY2-FLINDERS,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""I0Q""",S0531,,"Ryan, Scott Michael",aph bio,the Hon.,Scott,RYAN,,,,Male,1973-05-12,"Brisbane, QLD",,2008-07-01,,2556,Current Senator for Victoria (2008- ),Current,Senator,,Victoria,VIC,2007-FULL,2008-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberal,LP,LPNP,2008-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GD5""",S0335,,"Ryan, Susan Maree",aph bio,the Hon.,Susan,RYAN,AO,,,Female,1942-10-10,"Sydney, NSW",,1975-12-13,1988-01-29,4430,Former Senator for Australian Capital Territory (1975-1988),Former,Senator,,Australian Capital Territory,ACT,1975-DOUBLE,1975-12-13,1988-01-29,1988-CASUAL1-ACT,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""L0H""",,H0206,"Ryan, Thomas Joseph",aph bio,,Thomas,RYAN,KC,,,Male,1876-07-01,"Boothapool, VIC",1921-08-01,1919-12-13,1921-08-01,597,Former Member for West Sydney (1919-1921),Former,Member,,West Sydney,NSW,1919-FULL,1919-12-13,1921-08-01,1921-BY2-WESTSYDNEY,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1919-12-13,1921-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""L0I""",,H0141,"Ryrie, Granville De Laune (Later Sir Granville)",aph bio,Major-General the Hon. Sir,Granville,RYRIE,"CB, KCMG, VD",,,Male,1865-07-01,"Michelago, NSW",1937-10-02,1911-03-11,1927-04-13,5877,Former Member for Warringah (1922-1927) et al.,Former,Member,,Warringah,NSW,1922-FULL,1922-12-16,1927-04-13,1927-BY2-WARRINGAH,Resigned,Member,,North Sydney,NSW,1911-BY2-NORTHSYDNEY,1911-03-11,1922-12-16,1922-FULL,Moved at Redistribution (to Warringah),,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HVY""",,H1051,"Saffin, Janelle Anne",aph bio,,Janelle,SAFFIN,,,,Female,1954-11-01,"Ipswich, QLD",,2007-11-24,2013-09-07,2114,Former Member for Page (2007-2013),Former,Member,,Page,NSW,2007-FULL,2007-11-24,2013-09-07,2013-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,2007-11-24,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""L0J""",,H0687,"Sainsbury, Murray Evan",,,Murray,SAINSBURY,,,,Male,1940-09-14,"Wollongong, NSW",,1975-12-13,1983-03-05,2639,Former Member for Eden-Monaro (1975-1983),Former,Member,,Eden-Monaro,NSW,1975-DOUBLE,1975-12-13,1983-03-05,1983-DOUBLE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1975-12-13,1983-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""L0K""",,H0043,"Salmon, Charles Carty",aph bio,the Hon. ,Carty,SALMON,,,,Male,1860-07-29,"Amherst, VIC",1917-09-15,1901-03-29,1917-09-15,5346,Former Member for Grampians (1915-1917) et al.,Former,Member,,Grampians,VIC,1915-BY2-GRAMPIANS,1915-02-20,1917-09-15,1917-BY2-GRAMPIANS,Died,Member,,Laanecoorie,VIC,1901-FULL1,1901-03-29,1913-04-23,1913-FULL,Abolished at Redistribution (Retired),,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K3L""",S0122,,"Sampson, Burford",aph bio,,Burford,SAMPSON,"DSO, VD",,,Male,1882-03-30,"Launceston, TAS",1959-06-05,1925-11-14,1947-06-30,6801,Former Senator for Tasmania (1941-1947) et al.,Former,Senator,,Tasmania,TAS,1940-FULL,1941-07-01,1947-06-30,1946-FULL,Defeated,Senator,,Tasmania,TAS,1925-FULL,1925-11-14,1938-06-30,1937-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""L0P""",,H0114,"Sampson, Sydney",aph bio,,Sydney,SAMPSON,,,,Male,1863-00-00,"Creswick, VIC",1948-03-24,1906-12-12,1919-12-13,4749,Former Member for Wimmera (1906-1919),Former,Member,,Wimmera,VIC,1906-FULL,1906-12-12,1919-12-13,1919-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""1J4""",S0390,,"Sanders, Norman Karl",aph bio,Dr,Norman,SANDERS,,,,Male,1932-10-15,"Cleveland, Ohio, USA",,1985-07-01,1990-03-01,1704,Former Senator for Tasmania (1985-1990),Former,Senator,,Tasmania,TAS,1984-FULL,1985-07-01,1990-03-01,1990-CASUAL4-TAS,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K4S""",S0200,,"Sandford, Charles Walter",aph bio,,Charles,SANDFORD,,,,Male,1895-09-11,"New York, USA",1966-10-22,1947-07-01,1966-10-22,6712,Former Senator for Victoria (1957-1966) et al.,Former,Senator,,Victoria,VIC,1957-CASUAL1-VIC,1957-06-06,1966-10-22,1966-CASUAL3-VIC,Died,Senator,,Victoria,VIC,1946-FULL,1947-07-01,1956-06-30,1955-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BOT""",S0495,,"Santoro, Santo",aph bio,The Hon.,Santo,SANTORO,,,,Male,1956-04-27,"Sicily, Italy",,2002-10-29,2007-04-11,1625,Former Senator for Queensland (2002-2007),Former,Senator,,Queensland,QLD,2002-CASUAL3-QLD,2002-10-29,2007-04-11,2007-CASUAL2-QLD,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K54""",S0030,,"Sargood, Sir Frederick Thomas",aph bio,Sir,Frederick,SARGOOD,KCMG,,,Male,1834-05-30,"Walworth, England",1903-01-02,1901-03-29,1903-01-02,644,Former Senator for Victoria (1901-1903),Former,Senator,,Victoria,VIC,1901-FULL1,1901-03-29,1903-01-02,1903-CASUAL1-VIC,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K5B""",S0039,,"Saunders, Henry John",aph bio,,Henry,SAUNDERS,,,,Male,1855-02-16,"London, England",1919-10-13,1903-05-20,1903-12-31,225,Former Senator for Western Australia (1903-1903),Former,Senator,,Western Australia,WA,1903-CASUAL2-WA,1903-05-20,1903-12-31,1903-FULL,Expired Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""2J4""",,H0761,"Saunderson, John",aph bio,,John,SAUNDERSON,,,,Male,1948-05-31,"Slough, England",,1983-03-05,1990-03-24,2576,Former Member for Aston (1984-1990) et al.,Former,Member,,Aston,VIC,1984-FULL,1984-12-01,1990-03-24,1990-FULL,Defeated,Member,,Deakin,VIC,1983-DOUBLE,1983-03-05,1984-12-01,1984-FULL,Moved at Redistribution (to Aston),,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1983-03-05,1990-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KPX""",,H0044,"Sawers, William Bowie Stewart Campbell",aph bio,,William,SAWERS,,,,Male,1844-00-00,"Stirling, Scotland",1916-05-19,1901-03-29,1903-12-16,992,Former Member for New England (1901-1903),Former,Member,,New England,NSW,1901-FULL1,1901-03-29,1903-12-16,1903-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,{fill},PROT,,1901-03-29,1903-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""3J4""",,H0812,"Sawford, Rodney Weston",aph bio,,Rodney,SAWFORD,,,,Male,1944-06-26,"Adelaide, SA",,1988-03-26,2007-10-17,7144,Former Member for Port Adelaide (1988-2007),Former,Member,,Port Adelaide,SA,1988-BY2-PORTADELAIDE,1988-03-26,2007-10-17,2007-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1988-03-26,2007-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K5F""",S0057,,"Sayers, Robert John",aph bio,,Robert,SAYERS,,,,Male,1845-01-27,"Cowes, Isle of Wight",1919-05-12,1907-01-01,1913-06-30,2372,Former Senator for Queensland (1907-1913),Former,Senator,,Queensland,QLD,1906-FULL,1907-01-01,1913-06-30,1913-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""4J4""",S0408,,"Schacht, Christopher Cleland",aph bio,The Hon.,Chris,SCHACHT,,,,Male,1946-12-06,"Melbourne, VIC",,1987-07-11,2002-06-30,5468,Former Senator for South Australia (1987-2002),Former,Senator,,South Australia,SA,1987-DOUBLE,1987-07-11,2002-06-30,2001-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""5J4""",,H0578,"Scholes, Gordon Glen Denton",aph bio,The Hon.,Gordon,SCHOLES,AO,,,Male,1931-06-07,"Melbourne, VIC",,1967-07-22,1993-02-08,9333,Former Member for Corio (1967-1993),Former,Member,,Corio,VIC,1967-BY1-CORIO,1967-07-22,1993-02-08,1993-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1967-07-22,1993-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KQ8""",,H0300,"Scholfield, Thomas Hallett",aph bio,,Thomas,SCHOLFIELD,"MC, MM",,,Male,1894-05-09,"Talangatuk East, VIC",1964-06-25,1931-12-19,1940-09-21,3199,Former Member for Wannon (1931-1940),Former,Member,,Wannon,VIC,1931-FULL,1931-12-19,1940-09-21,1940-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,United Australia Party,UAP,,1931-12-19,1940-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""83Q""",,H0966,"Schultz, Albert John",aph bio,,Alby,SCHULTZ,,,,Male,1939-05-29,"Melbourne, VIC",,1998-10-03,2013-08-05,5420,Former Member for Hume (1998-2013),Former,Member,,Hume,NSW,1998-FULL,1998-10-03,2013-08-05,2013-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1998-10-03,2013-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""6J4""",,H0807,"Sciacca, Concetto Antonio",aph bio,the Hon.,Concetto,SCIACCA,,,,Male,1947-06-13,"Sicily, Italy",,1987-07-11,2004-10-09,5355,Former Member for Bowman (1998-2004) et al.,Former,Member,,Bowman,QLD,1998-FULL,1998-10-03,2004-10-09,2004-FULL,Defeated,Member,,Bowman,QLD,1987-DOUBLE,1987-07-11,1996-03-02,1996-FULL,Defeated,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1987-07-11,2004-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""YT4""",,H0844,"Scott, Bruce Craig",aph bio,the Hon.,Bruce,SCOTT,,,,Male,1943-10-20,"Roma, QLD",,1990-03-24,,9230,Current Member for Maranoa (1990- ),Current,Member,,Maranoa,QLD,1990-FULL,1990-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,The Nationals,NP,LPNP,1990-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K5H""",S0296,,"Scott, Douglas Barr",aph bio,The Hon.,Douglas,SCOTT,,,,Male,1920-05-12,"Adelaide, SA",2012-03-12,1970-08-06,1985-06-30,4167,Former Senator for New South Wales (1974-1985) et al.,Former,Senator,,New South Wales,NSW,1974-DOUBLE,1974-05-18,1985-06-30,1984-FULL,Retired,Senator,,New South Wales,NSW,1970-CASUAL1-NSW,1970-08-06,1970-11-20,1970-SENATE,Expired Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""165476""",,H1123,"Scott, Fiona Meryl",aph bio,,Fiona,SCOTT,,,,Female,1977-03-01,"Penrith, NSW",,2013-09-07,,662,Current Member for Lindsay (2013- ),Current,Member,,Lindsay,NSW,2013-FULL,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""7J4""",,H0726,"Scott, John Lyden",aph bio,,John,SCOTT,,,,Male,1934-03-31,"Hamilton, Scotland",,1980-10-18,1993-02-08,4496,Former Member for Hindmarsh (1980-1993),Former,Member,,Hindmarsh,SA,1980-FULL,1980-10-18,1993-02-08,1993-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1980-10-18,1993-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""8J4""",,H0814,"Scott, Leslie James",aph bio,,Leslie,SCOTT,,,,Male,1947-10-18,"Nambour, QLD",,1988-10-08,1996-03-02,2702,Former Member for Oxley (1988-1996),Former,Member,,Oxley,QLD,1988-BY4-OXLEY,1988-10-08,1996-03-02,1996-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1988-10-08,1996-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K5K""",S0216,,"Scott, Malcolm Fox",aph bio,The Hon.,Malcolm,SCOTT,,,,Male,1910-05-11,"Bridgetown, WA",1989-06-01,1949-12-10,1971-06-30,7872,Former Senator for Western Australia (1949-1971),Former,Senator,,Western Australia,WA,1949-FULL-NEW,1949-12-10,1971-06-30,1970-SENATE,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""F4P""",,H0041,"Reid, George Houstoun (Later Sir George)",aph bio,Rt. Hon. Sir,George,REID,"GCB, GCMG, KC",,,Male,1845-02-25,"Johnstone, Scotland",1918-09-12,1901-03-29,1909-12-24,3175,Former Member for East Sydney (1903-1909) et al.,Former,Member,,East Sydney,NSW,1903-BY-EASTSYDNEY,1903-09-04,1909-12-24,1910-FULL-NOBY,Resigned,Member,,East Sydney,NSW,1901-FULL1,1901-03-29,1903-08-18,1903-BY-EASTSYDNEY,Resigned,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""00AOM""",S0484,,"Scullion, Nigel Gregory",aph bio,the Hon.,Nigel,SCULLION,,,,Male,1956-05-04,"London, England",,2001-11-10,,4981,Current Senator for Northern Territory (2001- ),Current,Senator,,Northern Territory,NT,2001-FULL,2001-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country Liberal Party,CLP,LPNP,2001-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KQB""",,H0323,"Scully, William James",aph bio,The Hon.,William,SCULLY,,,,Male,1890-02-01,"Sydney, NSW",1966-03-19,1937-05-08,1949-12-10,4599,Former Member for Gwydir (1937-1949),Former,Member,,Gwydir,NSW,1937-BY-GWYDIR,1937-05-08,1949-12-10,1949-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1937-05-08,1949-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KQW""",,H0234,"Seabrook, Alfred Charles",aph bio,,Alfred,SEABROOK,,,,Male,1867-04-05,"Hobart, TAS",1939-06-11,1922-12-16,1928-11-17,2163,Former Member for Franklin (1922-1928),Former,Member,,Franklin,TAS,1922-FULL,1922-12-16,1928-11-17,1928-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,The Nationals,NAT,,1922-12-16,1928-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""848""",,H0967,"Secker, Patrick Damien",aph bio,,Patrick,SECKER,,,,Male,1956-06-06,"Happy Valley, SA",,1998-10-03,2013-08-05,5420,Former Member for Barker (1998-2013),Former,Member,,Barker,SA,1998-FULL,1998-10-03,2013-08-05,2013-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1998-10-03,2013-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K5R""",S0076,,"Senior, William",aph bio,,William,SENIOR,,,,Male,1850-02-09,"Yorkshire, England",1926-11-22,1913-07-01,1923-06-30,3651,Former Senator for South Australia (1913-1923),Former,Senator,,South Australia,SA,1913-FULL,1913-07-01,1923-06-30,1922-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""QK6""",,H0927,"Sercombe, Robert Charles Grant",aph bio,,Bob,SERCOMBE,,,,Male,1949-04-03,"Melbourne, VIC",,1996-03-02,2007-10-17,4246,Former Member for Maribyrnong (1996-2007),Former,Member,,Maribyrnong,VIC,1996-CASUAL1,1996-03-02,2007-10-17,2007-FULL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1996-03-02,2007-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HZE""",S0557,,"Seselja, Zdenko Matthew",aph bio,,Zed,SESELJA,,,,Male,1977-03-27,"Canberra, ACT",,2013-09-07,,662,Current Senator for Australian Capital Territory (2013- ),Current,Senator,,Australian Capital Territory,ACT,2013-FULL,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberal,LP,LPNP,2013-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K5T""",S0233,,"Seward, Harrie Stephen",aph bio,The Hon.,Harrie,SEWARD,,,,Male,1884-02-26,"Rochester, VIC",1958-07-23,1951-04-28,1958-07-23,2643,Former Senator for Western Australia (1951-1958),Former,Senator,,Western Australia,WA,1951-DOUBLE,1951-04-28,1958-07-23,1958-CASUAL2-WA,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KQY""",,H0510,"Sexton, Joseph Clement Leonard",aph bio,,Joe,SEXTON,,,,Male,1905-11-24,"Strathalbyn, SA",1974-04-21,1958-11-22,1966-11-26,2926,Former Member for Adelaide (1958-1966),Former,Member,,Adelaide,SA,1958-FULL,1958-11-22,1966-11-26,1966-HOUSE,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1958-11-22,1966-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""9J4""",,H0706,"Shack, Peter Donald",aph bio,,Peter,SHACK,,,,Male,1953-06-20,"Subiaco, WA",,1977-12-10,1993-02-08,4902,Former Member for Tangney (1984-1993) et al.,Former,Member,,Tangney,WA,1984-FULL,1984-12-01,1993-02-08,1993-FULL,Retired,Member,,Tangney,WA,1977-FULL,1977-12-10,1983-03-05,1983-DOUBLE,Defeated,,,,,,,,,,,,,,,,,,,ONE,Liberal Party,LIB,,1977-12-10,1993-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K5V""",S0068,,"Shannon, John Wallace",aph bio,,John,SHANNON,,,,Male,1862-04-28,"Moculta, SA",1926-01-30,1912-07-31,1920-06-30,2459,Former Senator for South Australia (1914-1920) et al.,Former,Senator,,South Australia,SA,1914-DOUBLE,1914-09-05,1920-06-30,1919-FULL,Retired,Senator,,South Australia,SA,1912-CASUAL1-SA,1912-07-31,1913-06-30,1913-FULL,Expired Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AJ4""",,H0791,"Sharp, John Randall",aph bio,The Hon.,John,SHARP,,,,Male,1954-12-15,"Sydney, NSW",,1984-12-01,1998-08-31,5021,Former Member for Hume (1993-1998) et al.,Former,Member,,Hume,NSW,1993-FULL,1993-03-13,1998-08-31,1998-FULL,Retired,Member,,Gilmore,NSW,1984-FULL,1984-12-01,1993-03-13,1993-FULL,Moved at Redistribution (to Hume),,,,,,,,,,,,,,,,,,,ONE,{fill},NPA,,1984-12-01,1998-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KR8""",,H0162,"Sharpe, James Benjamin",aph bio,,James,SHARPE,,,,Male,1868-00-00,"Kiama, NSW",1935-07-08,1913-05-31,1917-05-05,1435,Former Member for Oxley (1913-1917),Former,Member,,Oxley,QLD,1913-FULL,1913-05-31,1917-05-05,1917-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1913-05-31,1917-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KRC""",,H0550,"Shaw, George William",aph bio,,George,SHAW,,,,Male,1913-07-28,"Rockhampton, QLD",1966-01-09,1963-11-30,1966-01-09,771,Former Member for Dawson (1963-1966),Former,Member,,Dawson,QLD,1963-HOUSE,1963-11-30,1966-01-09,1966-BY1-DAWSON,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Country Party,CP,,1963-11-30,1966-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K5X""",S0173,,"Sheehan, James Michael",aph bio,,Jim,SHEEHAN,,,,Male,1885-07-24,"Castlemaine, VIC",1967-04-10,1938-07-12,1962-06-30,7374,Former Senator for Victoria (1944-1962) et al.,Former,Senator,,Victoria,VIC,1943-FULL,1944-07-01,1962-06-30,1961-FULL,Retired,Senator,,Victoria,VIC,1938-CASUAL1-VIC,1938-07-12,1940-09-20,1940-FULL,Expired Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KRE""",,H0329,"Sheehan, Thomas",aph bio,,Tom,SHEEHAN,,,,Male,1891-04-14,"Sydney, NSW",1955-03-26,1937-10-23,1955-03-26,6363,Former Member for Cook i (1937-1955),Former,Member,,Cook i,NSW,1937-FULL,1937-10-23,1955-03-26,1955-BY-COOK,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,MORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""KRI""",,H0368,"Sheehy, Thomas Neil",aph bio,,Thomas,SHEEHY,,,,Male,1899-05-19,?,1984-09-23,1943-08-21,1949-12-10,2303,Former Member for Boothby (1943-1949),Former,Member,,Boothby,SA,1943-FULL,1943-08-21,1949-12-10,1949-FULL,Defeated,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE,Australian Labor Party,ALP,,1943-08-21,1949-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BJ4""",S0322,,"Sheil, Glenister Fermoy",aph bio,Dr,Glen,SHEIL,,,,Male,1929-10-21,"Sydney, NSW",2008-09-29,1974-05-18,1990-06-30,4493,Former Senator for Queensland (1984-1990) et al.,Former,Senator,,Queensland,QLD,1984-FULL-NEW,1984-12-01,1990-06-30,1990-FULL,Defeated,Senator,,Queensland,QLD,1974-DOUBLE,1974-05-18,1981-02-06,1981-CASUAL1-QLD,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""K5Z""",S0264,,"Sherrington, Robert Duncan",aph bio,,Bob,SHERRINGTON,,,,Male,1902-01-21,"Maryborough, QLD",1966-03-16,1962-07-01,1966-03-16,1354,Former Senator for Queensland (1962-1966),Former,Senator,,Queensland,QLD,1961-FULL,1962-07-01,1966-03-16,1966-CASUAL2-QLD,Died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ZW4""",S0428,,"Sherry, Nicholas John",aph bio,The Hon.,Nick,SHERRY,,,,Male,1955-11-19,"Kingston-on-Thames, England",,1990-07-01,2012-06-01,8006,Former Senator for Tasmania (1990-2012),Former,Senator,,Tasmania,TAS,1990-FULL,1990-07-01,2012-06-01,2012-CASUAL3-TAS,Resigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
