phid,sen_id,rep_id,name,given_name,additional_name,bio.prefname,family_name,honorific_prefix,honorific_suffix,gender,=birth,place_of_birth,=death
JRB,,H0391,William Bostock,William,Dowling,William,Bostock,,"CB, DSO, OBE",Male,1892-02-05,"Surry Hills, NSW",1968-04-28
YE4,S0369,,Ronald Boswell,Ronald,Leslie Doyle,Ronald,Boswell,The Hon.,,Male,1940-12-09,"Perth, WA"
JRD,,H0617,John Bourchier,John,William,John,Bourchier,,,Male,1929-10-12,"Ballarat, VIC"
JRF,,H0392,Bill Bourke,William,Meskill,Bill,Bourke,,,Male,1913-06-02,"North Carlton, VIC",1981-05-22
TW4,S0417,,Vicki Bourne,Vicki,Worrall,Vicki,Bourne,,,Female,1954-10-22,"Sydney, NSW"
JRH,,H0098,Eric Bowden,Eric,Kendall,Eric,Bowden,The Hon.,,Male,1872-09-30,"Parramatta, NSW",1931-02-13
JRJ,,H0354,George Bowden,George,James,George,Bowden,,MC ,Male,1888-03-17,"Moyhu, VIC",1962-06-08
DZS,,H1000,Chris Bowen,Christopher,Eyles,Chris,Bowen,the Hon.,,Male,1973-01-17,"Sydney, NSW"
ZE4,,H0586,Lionel Bowen,Lionel,Frost,Lionel,Bowen,The Hon.,AC,Male,1922-12-28,"Sydney, NSW",2012-04-01
JRN,,H0553,Nigel Bowen,Nigel,Hubert,Nigel,Bowen,the Hon.,QC,Male,1911-05-26,"Summerland, British Columbia",1994-09-27
H6V,S0515,,Sue Boyce,Suzanne,Kay,Sue,Boyce,,,Female,1951-03-15,"Brisbane, QLD"
JRP,,H0148,James Boyd,James,Arthur,James,Boyd,The Hon.,,Male,1867-07-07,"Portsea, England",1941-04-12
HVW,,H1021,David Bradbury,David,John,David,Bradbury,the Hon.,,Male,1976-02-28,"Sydney, NSW"
JRR,,H0002,Edward Braddon,Sir,Edward Nicholas Coventry,Edward,Braddon,Rt. Hon. Sir,,Male,1829-06-11,"St Kew, England",1904-02-02
JRU,,H0664,James Bradfield,James,Mark,James,Bradfield,,,Male,1933-07-30,"Sydney, NSW",1989-11-19
FT4,,H0819,John Bradford,John,Walter,John,Bradford,,,Male,1946-01-03,"Sydney, NSW"
0F4,,H0665,Raymond Braithwaite,Raymond,Allen,Raymond,Braithwaite,,,Male,1933-12-06,"Mackay, QLD"
K2F,S0149,,Charles Brand,Charles,Henry,Charles,Brand,,"CB, CMG, CVO, DSO",Male,1873-09-04,"Ipswich, QLD",1961-07-31
JS7,,H0468,William Brand,William,Alfred,William,Brand,,CBE,Male,1888-08-22,"Childers, QLD",1979-10-26
008W7,S0481,,George Brandis,George,Henry,George,Brandis,the Hon.,QC,Male,1957-06-22,"Sydney, NSW"
K2I,S0245,,George Branson,George,Howard,George,Branson,,,Male,1918-02-23,"Perth, WA",1999-01-27
JS9,,H0339,John Breen,John,Patrick,John,Breen,,,Male,1898,"Kalgoorlie, WA",1966-02-05
K2W,S0256,,Marie Breen,Marie,Freda,Marie,Breen,(later Dame),DBE ,Female,1902-11-03,"St Kilda, VIC",1993-06-17
JSC,,H0140,Frank Brennan,Frank,,Frank,Brennan,The Hon.,,Male,1873,"Bendigo, VIC",1950-11-06
K2Z,S0138,,Tom Brennan,Thomas,Cornelius,Tom,Brennan,The Hon.,KC,Male,1867,"Sedgwick, VIC",1944-01-03
5T4,,H0820,Laurence Brereton,Laurence,John,Laurence,Brereton,The Hon.,,Male,1946-05-29,"Sydney, NSW"
